Site,Product,Price,Currency,Rating,Reviews,Price_EGP
Jumia,Apple iPhone 17 Pro Max 256GB Cosmic Orange,109900.0,EGP,0.0,0,109900.0
Amazon,Apple iPhone 17 Pro Max (256 GB) - Cosmic Orange w,99777.0,EGP,3.8,41,99777.0
eBay,Brand New Apple iPhone 17 – Black – 256GB – NEW - ,43565.7138,EGP,0.0,0,43565.7138
Walmart,"Straight Talk Apple iPhone 17, 5G, 256GB, Lavender",44450.979999999996,EGP,4.2,189,44450.979999999996
