Site,Product,Price,Currency,Rating,Reviews,Price_EGP
Amazon,XIAOMI Redmi Note 15 Smartphone (8+256 GB) – 6000 ,12490.0,EGP,4.1,54,12490.0
eBay,البحار الوسيم - هرمان ملفيل,1340.5,EGP,0.0,0,1340.5
