Site,Product,Price,Currency,Rating,Reviews,Price_EGP
Jumia,Tempered Glass Camera Lens Cover for Realme C53,69.0,EGP,0.0,0,69.0
Amazon,realme,10999.0,EGP,3.8,14,10999.0
eBay,ANTISHOCK Screen protector for Realme C53,278.824,EGP,0.0,0,278.824
Walmart,Realme GT 7 5G Dual Sim 256GB ROM 12GB RAM GSM Unl,33780.063799999996,EGP,0.0,0,33780.063799999996
