Site,Product,Price,Currency,Rating,Reviews,Price_EGP
Jumia,Apple iPhone 15 128GB Black Tax Paid Warranty 2 Ye,52900.0,EGP,5.0,2,52900.0
Amazon,Apple iPhone Air (256 GB) - Sky Blue with Face ID ,72599.0,EGP,4.0,8,72599.0
eBay,Apple iPhone 15 - 128 GB - Black (T-Mobile),18767.0,EGP,0.0,0,18767.0
Walmart,"Straight Talk Apple iPhone 15, 128GB, 5G, Black - ",23002.98,EGP,4.4,653,23002.98
